RAND()
1,2000000,2000000,1570950,3.141900,0:172561
2,1000000,2000000,1571127,3.142254,0:281322
3,666666,1999998,1571228,3.142459,0:641749
4,500000,2000000,1570954,3.141908,0:915762
5,400000,2000000,1571087,3.142174,1:257043
6,333333,1999998,1570906,3.141815,1:131913
7,285714,1999998,1571081,3.142165,0:768851
8,250000,2000000,1571073,3.142146,0:946088
9,222222,1999998,1570464,3.140931,0:623022
10,200000,2000000,1571351,3.142702,0:658297
11,181818,1999998,1571042,3.142087,0:801617
12,166666,1999992,1570919,3.141851,0:704152
13,153846,1999998,1571888,3.143779,0:743348
14,142857,1999998,1571023,3.142049,0:729188
PRNG
1,2000000,2000000,1571557,3.143114,0:717590
2,1000000,2000000,1572600,3.145200,0:483790
3,666666,1999998,1572363,3.144729,0:430655
4,500000,2000000,1573244,3.146488,0:246695
5,400000,2000000,1572975,3.145950,0:217549
6,333333,1999998,1573230,3.146463,0:194007
7,285714,1999998,1573215,3.146433,0:183193
8,250000,2000000,1572432,3.144864,0:173092
9,222222,1999998,1572309,3.144621,0:195681
10,200000,2000000,1572850,3.145700,0:198065
11,181818,1999998,1573264,3.146531,0:192677
12,166666,1999992,1574328,3.148669,0:181090
13,153846,1999998,1574547,3.149097,0:171519
14,142857,1999998,1573726,3.147455,0:179321
