RAND()
1,2000000,2000000,1570950,3.141900,0:191595
2,1000000,2000000,1571366,3.142732,0:239447
3,666666,1999998,1571297,3.142597,0:675616
4,500000,2000000,1571511,3.143022,0:947351
5,400000,2000000,1571685,3.143370,1:288230
6,333333,1999998,1571075,3.142153,1:192002
7,285714,1999998,1570495,3.140993,0:909765
8,250000,2000000,1570664,3.141328,0:628388
9,222222,1999998,1571835,3.143673,0:769863
10,200000,2000000,1571661,3.143322,0:851532
11,181818,1999998,1571305,3.142613,0:821383
12,166666,1999992,1571061,3.142135,0:756086
13,153846,1999998,1571725,3.143453,0:800638
14,142857,1999998,1570975,3.141953,0:714937
PRNG
1,2000000,2000000,1571557,3.143114,0:858752
2,1000000,2000000,1572600,3.145200,0:531529
3,666666,1999998,1572363,3.144729,0:400428
4,500000,2000000,1573244,3.146488,0:248794
5,400000,2000000,1572975,3.145950,0:216684
6,333333,1999998,1573230,3.146463,0:198635
7,285714,1999998,1573215,3.146433,0:183006
8,250000,2000000,1572432,3.144864,0:179418
9,222222,1999998,1572309,3.144621,0:209251
10,200000,2000000,1572850,3.145700,0:221282
11,181818,1999998,1573264,3.146531,0:181274
12,166666,1999992,1574328,3.148669,0:187517
13,153846,1999998,1574547,3.149097,0:178596
14,142857,1999998,1573726,3.147455,0:170486
