RAND()
1,2000000,2000000,1570950,3.141900,0:198770
2,1000000,2000000,1570901,3.141802,0:263417
3,666666,1999998,1571245,3.142493,0:631363
4,500000,2000000,1571714,3.143428,1:143163
5,400000,2000000,1570918,3.141836,1:228930
6,333333,1999998,1571423,3.142849,1:264228
7,285714,1999998,1571093,3.142189,0:978781
8,250000,2000000,1571061,3.142122,0:886217
9,222222,1999998,1570824,3.141651,0:870461
10,200000,2000000,1571403,3.142806,0:814889
11,181818,1999998,1571525,3.143053,0:810755
12,166666,1999992,1571127,3.142267,0:713318
13,153846,1999998,1571619,3.143241,0:587319
14,142857,1999998,1571130,3.142263,0:624222
PRNG
1,2000000,2000000,1571557,3.143114,0:950744
2,1000000,2000000,1572600,3.145200,0:506082
3,666666,1999998,1572363,3.144729,0:356145
4,500000,2000000,1573244,3.146488,0:281075
5,400000,2000000,1572975,3.145950,0:222160
6,333333,1999998,1573230,3.146463,0:196468
7,285714,1999998,1573215,3.146433,0:185336
8,250000,2000000,1572432,3.144864,0:182948
9,222222,1999998,1572309,3.144621,0:197688
10,200000,2000000,1572850,3.145700,0:230121
11,181818,1999998,1573264,3.146531,0:239246
12,166666,1999992,1574328,3.148669,0:223196
13,153846,1999998,1574547,3.149097,0:200370
14,142857,1999998,1573726,3.147455,0:267568
